"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:27:17 BRT 2023","Tue Apr 25 16:27:30 BRT 2023","12698","Cadastro Tipo movimento tesouraria","Alterar","","","","Alterar Tipo movimento tesouraria",""
"passed","Tue Apr 25 16:15:32 BRT 2023","Tue Apr 25 16:15:47 BRT 2023","14966","Cadastro de tabela nutricional(","Cadastro","","","","Cadastro de tabela nutricional(",""
"passed","Tue Apr 25 16:34:52 BRT 2023","Tue Apr 25 16:35:06 BRT 2023","14020","Cadastro Excecao impostos ISS","Excluir","","","","Excluir Excecao impostos ISS",""
"passed","Tue Apr 25 16:17:54 BRT 2023","Tue Apr 25 16:18:04 BRT 2023","10664","Cadastro Receita(","Excluir","","","","Excluir Receita(",""
"passed","Tue Apr 25 16:44:03 BRT 2023","Tue Apr 25 16:44:22 BRT 2023","19497","Cadastro Exceção PIS","Cadastro","","","","Cadastro Exceção PIS",""
"passed","Tue Apr 25 16:23:21 BRT 2023","Tue Apr 25 16:23:32 BRT 2023","10379","Cadastro Perfil","Excluir","","","","Excluir Perfil",""
"passed","Tue Apr 25 16:39:23 BRT 2023","Tue Apr 25 16:39:39 BRT 2023","16104","Cadastro Observacao fiscal","Cadastro","","","","Cadastro Observacao fiscal",""
"passed","Tue Apr 25 16:45:02 BRT 2023","Tue Apr 25 16:45:22 BRT 2023","19935","Cadastro Imposto Simples","Cadastro","","","","Cadastro Imposto Simples",""
"passed","Tue Apr 25 16:08:11 BRT 2023","Tue Apr 25 16:08:24 BRT 2023","12825","Cadastro Departamento loja","Alterar","","","","Alterar Departamento loja",""
"passed","Tue Apr 25 16:32:29 BRT 2023","Tue Apr 25 16:32:42 BRT 2023","12786","Cadastro Integradores","Alterar","","","","Alterar Integradores",""
"passed","Tue Apr 25 16:26:11 BRT 2023","Tue Apr 25 16:26:27 BRT 2023","15535","Cadastro Tabela preços","Cadastro","","","","Cadastrar Tabela preços",""
"passed","Tue Apr 25 16:46:24 BRT 2023","Tue Apr 25 16:46:36 BRT 2023","11261","Cadastro Algoritimos","Excluir","","","","Excluir Algoritimos",""
"passed","Tue Apr 25 16:36:24 BRT 2023","Tue Apr 25 16:36:45 BRT 2023","20607","Cadastro Exceção ICMS","Cadastro","","","","Cadastro Exceção ICMS",""
"passed","Tue Apr 25 16:14:25 BRT 2023","Tue Apr 25 16:14:35 BRT 2023","10509","Cadastro Familia","Excluir","","","","Excluir Familia",""
"passed","Tue Apr 25 16:32:42 BRT 2023","Tue Apr 25 16:32:55 BRT 2023","13434","Cadastro Integradores","Excluir","","","","Excluir Integradores",""
"passed","Tue Apr 25 16:43:40 BRT 2023","Tue Apr 25 16:43:52 BRT 2023","12097","Cadastro Regras ICMS","Excluir","","","","Excluir Regras ICMS",""
"passed","Tue Apr 25 16:27:30 BRT 2023","Tue Apr 25 16:27:41 BRT 2023","11190","Cadastro Tipo movimento tesouraria","Excluir","","","","Excluir Tipo movimento tesouraria",""
"passed","Tue Apr 25 16:25:06 BRT 2023","Tue Apr 25 16:25:18 BRT 2023","11734","Cadastro Premiação Aleatoria","Excluir","","","","Excluir Premiação Aleatoria",""
"passed","Tue Apr 25 16:28:08 BRT 2023","Tue Apr 25 16:28:23 BRT 2023","14219","Cadastro Transportadoras","Alterar","","","","Alterar Transportadoras",""
"passed","Tue Apr 25 16:30:29 BRT 2023","Tue Apr 25 16:30:48 BRT 2023","18329","Cadastro CFOP","Cadastro","","","","Cadastro CFOP",""
"passed","Tue Apr 25 16:54:34 BRT 2023","Tue Apr 25 16:54:49 BRT 2023","15154","Cadastro Intermediador","Cadastro","","","","Cadastrar Intermediador",""
"passed","Tue Apr 25 16:48:03 BRT 2023","Tue Apr 25 16:48:13 BRT 2023","10648","Cadastro Bancos","Excluir","","","","Excluir Bancos",""
